accel_z,range_sensor,d_est,v_est,a_est,t
-0.05987868000000063,0.132,2.5811758550710604e-09,2.5552658688021118e-09,1.7005120596001616e-09,0.032009
-0.05268795000000104,0.132,1.475767792392174e-07,1.474838638610867e-07,1.4368706774903384e-07,0.065001
-0.014370090000001667,0.13,3.7006620401591024e-06,3.6999276421424926e-06,3.6359201343422095e-06,0.097001
-0.04550702999999956,0.132,6.752596732204235e-05,6.751341372490307e-05,6.633495272355277e-05,0.129031
-0.03831629999999997,0.133,0.0010339630952487175,0.0010337584372605473,0.0010153171060555358,0.162005
0.03113849999999907,0.131,0.012900108776337,0.012897297130424796,0.012659781847839967,0.194032
-0.023954460000000566,0.13,0.07782256744474572,0.07779766875165375,0.07614444930341632,0.226809
-0.0910156200000003,0.13,0.12569226020036667,0.1255716075097202,0.12086201843247052,0.259805
-0.06705960000000033,0.132,0.131532565443759,0.13120373623253814,0.12298812796639616,0.291808
0.0957962099999996,0.132,0.1319766791016509,0.13132420311333282,0.1194011721137459,0.324809
-0.08861216999999932,0.135,0.13493727270098982,0.13387184233363067,0.12050889685844132,0.356842
-0.021551009999999593,0.133,0.13299089276306006,0.1314672105901545,0.11632380535825762,0.38982
0.06226562999999885,0.133,0.13299929298217034,0.13094582563910354,0.11295037975844442,0.421831
0.03831941999999877,0.131,0.1309997951439577,0.12833409746849891,0.10795855172838159,0.453841
-0.04311339000000025,0.132,0.13199990603200312,0.1286713918986551,0.10725771688143079,0.486812
-0.11256819000000107,0.132,0.1319999706460066,0.12799673766079217,0.10667092493098965,0.518831
0.028735049999999873,0.13,0.12999999788570413,0.12528314585175193,0.10184219721534735,0.550832
-0.2658494400000002,0.131,0.13099999766801088,0.12559078589401482,0.10474247008490656,0.583359
0.16525101000000042,0.13,0.1300000000916483,0.12385208227246948,0.09874805807623975,0.616358
0.0957962099999996,0.131,0.13099999999999465,0.12399916272365497,0.09581383943482596,0.64836
-0.11974911000000077,0.133,0.1329999999854089,0.1251126438488563,0.09729443095811391,0.681359
-0.031135380000000268,0.133,0.13299999999810797,0.12421113774612076,0.09535513844564406,0.714361
0.07663727999999992,0.132,0.13199999999995304,0.12224466081842653,0.09068675553892494,0.746369
0.15567644999999963,0.134,0.13400000000005097,0.12316901306449698,0.08770125483997705,0.779369
-0.12933347999999967,0.131,0.13099999999996392,0.11905419298442985,0.08428907603564753,0.812381
-0.23949978000000094,0.134,0.13399999999998752,0.12099532747894015,0.08866672124573025,0.844391
-0.023954460000000566,0.131,0.1309999999999991,0.11694926465125419,0.08363908065720746,0.877381
0.03831941999999877,0.134,0.13399999999999992,0.11885407979808307,0.08359305250220259,0.909391
0.004788839999999794,0.132,0.13199999999999998,0.11570664184646656,0.07907981624500571,0.941391
0.14609207999999896,0.132,0.132,0.11447417815728517,0.07429581262188903,0.974364
-0.007189170000000189,0.133,0.133,0.11417485651724345,0.07293732662438446,1.006391
0.1916006699999997,0.129,0.129,0.10878267470845743,0.06341447432011665,1.038392
-0.11735547000000146,0.131,0.131,0.10935248244897267,0.06483216233850239,1.071369
-0.1796293500000008,0.132,0.132,0.10896775706442136,0.06626881331439374,1.103381
-0.1772357100000015,0.13,0.13,0.10564037980215368,0.06473334285520571,1.136381
0.05269106999999984,0.13,0.13,0.10430190721965243,0.06155015413673644,1.168381
-0.06466596000000102,0.132,0.132,0.10494009069955089,0.06223090342412317,1.201356
-0.09819654,0.131,0.131,0.1025895967910804,0.06047465942909959,1.233369
-0.021551009999999593,0.13,0.13,0.10023558903326601,0.05752940082527344,1.266358
-0.026348099999999874,0.13,0.13,0.09886469171395598,0.05567940597776043,1.298365
0.07903091999999923,0.132,0.132,0.09944731130660198,0.05412331751644474,1.33037
0.16525101000000042,0.129,0.129,0.0949362047001598,0.04618717418108996,1.36336
-0.05987868000000063,0.129,0.129,0.09338436862025498,0.04486851776272131,1.395393
-0.20357556000000088,0.13,0.13,0.09288318272060536,0.04688505846242752,1.428389
-0.10059018000000108,0.131,0.131,0.09243136115208868,0.04728820337054035,1.460391
0.019160489999999086,0.132,0.132,0.09197103002281698,0.04578082885024178,1.492391
0.007182479999999103,0.132,0.132,0.09048112216081795,0.04346826292750465,1.525114
-0.09819654,0.132,0.132,0.08899686867485856,0.042866107650797805,1.558114
-0.07184688000000072,0.133,0.133,0.08853306727837157,0.04286599976674378,1.591104
0.026341410000000565,0.131,0.131,0.08505485042252872,0.038329030380596374,1.623105
0.13173023999999955,0.135,0.135,0.08751205489321316,0.03806807987204788,1.655114
-0.08621853000000002,0.13,0.13,0.0809477183144674,0.03233551478528497,1.688091
0.004788839999999794,0.134,0.134,0.08338376320654707,0.03415806054478623,1.720104
0.01437321000000047,0.129,0.129,0.07679718375543172,0.02687296413911231,1.752114
-0.06705960000000033,0.133,0.133,0.07921387352793491,0.029900234643474743,1.785092
-0.0047857200000009925,0.134,0.134,0.07863093691059347,0.028925895611982645,1.817092
-0.15806697000000014,0.132,0.13199999999999998,0.07508156976579619,0.02745849347558449,1.849094
-0.014370090000001667,0.134,0.134,0.07555608311172397,0.02772078466768823,1.882089
-0.11017454999999998,0.133,0.133,0.07305246267502798,0.02654896819533767,1.915102
-0.0742503300000017,0.13,0.13,0.0685810304180284,0.022880031885994023,1.948092
0.043106699999999165,0.13,0.13,0.06710090324887602,0.020370975224256866,1.981082
0.002395200000000486,0.134,0.134,0.06960043409900116,0.02248363231565101,2.01309
-0.07184688000000072,0.133,0.133,0.06710946404328788,0.020800491418411046,2.04609
0.16765445999999962,0.13,0.13,0.06257319407270734,0.013328921704351293,2.078777
-0.10537746000000148,0.131,0.131,0.06202605194713246,0.01424475267141688,2.11177
-0.13890804000000045,0.131,0.131,0.060535576979161926,0.014743550910863129,2.143774
-0.05268795000000104,0.129,0.129,0.05708294532246639,0.011928166940371118,2.17677
-0.0047857200000009925,0.132,0.132,0.05863684595708179,0.013352541198030227,2.208806
0.016766849999999778,0.134,0.134,0.05917988814517596,0.01341302567042563,2.241775
0.06945636000000022,0.131,0.131,0.054691875401659,0.007660678800378629,2.273783
-0.15327968999999975,0.133,0.133,0.05523103762902072,0.010499358536443626,2.305783
-0.15806697000000014,0.132,0.132,0.05284469615439097,0.010474366374038063,2.337784
0.05269106999999984,0.133,0.133,0.052470888099044904,0.00910457428732172,2.370783
-0.047900670000000645,0.131,0.131,0.04909564349555855,0.006379240572317882,2.403772
-0.009582810000001274,0.131,0.131,0.04773026706911988,0.005079039272191313,2.435775
-0.10778091000000067,0.128,0.128,0.04339668021112167,0.002417176280044925,2.467782
-0.10537746000000148,0.134,0.134,0.04811617605043757,0.008716604379184562,2.500775
-0.0047857200000009925,0.132,0.132,0.04485506293714657,0.005427802126484317,2.532778
0.06945636000000022,0.133,0.133,0.04457149203558941,0.003961777701372474,2.564779
-0.009582810000001274,0.13,0.13,0.040274126781135886,-0.00020108958928565478,2.597778
0.13173023999999955,0.132,0.132,0.04093958066379408,-0.0016248613368626263,2.630777
-0.23471250000000055,0.132,0.132,0.03964803576425055,0.0008386211762399509,2.662779
0.04071305999999986,0.135,0.135,0.04139374085463764,0.001908051640639681,2.695362
