accel_z,range_sensor,d_est,v_est,a_est,t
-0.14609877000000004,0.043000000000000003,-4.900693021481768e-07,-4.594399707639157e-05,-0.002871499817274473,0.032004
-0.03592266000000066,0.04,-0.034356116868057895,-0.034443010208409744,-0.03549781320934382,0.065
0.0814343700000002,0.044,-0.21886243972602476,-0.20513706388805156,0.023739153112898453,0.097002
-0.02874174000000096,0.046,-0.49971595064319574,-0.45990983226114857,-0.027418506368204913,0.130001
0.6203074799999992,0.046,-74.20753348961351,-65.98518646239381,0.40401275658036717,0.162032
-0.03831629999999997,0.043000000000000003,-226.8086932831546,-196.22963368926082,-0.02203721435843453,0.194032
0.2850114900000005,0.043000000000000003,-2381.2954538908707,-2004.6976208476071,0.20632689251921538,0.226032
-0.014370090000001667,0.043000000000000003,-8334.678493270494,-6832.614709866094,-0.0039050820558445276,0.259032
0.028735049999999873,0.043000000000000003,-23340.93182408799,-18645.339055473592,0.02183959650884349,0.291032
-0.09819654,0.041,-272609.58792920085,-212339.76558023415,-0.09136254515666395,0.323033
-0.1868102700000005,0.042,2617513.83058325,1989238.894510409,-0.16938874184774294,0.356032
-0.04071975000000094,0.042,23137306.163652387,17166251.737778302,-0.049121592634721836,0.388033
-0.11496183000000038,0.039,160504099.45719188,116321072.9905313,-0.10422791077014805,0.420859
-0.13412076000000006,0.043000000000000003,-196789625.9970881,-139385531.88771248,-0.1319526746015766,0.452869
-0.1915975500000009,0.045,8409238348.273012,5824230434.829489,-0.1826954612112492,0.485846
-0.011976450000000582,0.044,163834691430.06244,111011386383.49289,-0.025409760913389118,0.517846
0.028735049999999873,0.045,-381101282682.5447,-252747033170.2456,0.021196477512918678,0.550686
0.016766849999999778,0.041,-690161856799.1975,-448204542177.5956,0.017138345052004338,0.583676
0.03831941999999877,0.043000000000000003,-15866531140621.898,-10094261021134.402,0.0355280234606733,0.615692
0.009576120000000188,0.046,-147085364545954.06,-91708434885544.6,0.011864460633528355,0.648676
-0.17483226000000052,0.039,9340441026091688.0,5709885554378474.0,-0.15127591818364167,0.681654
0.0934025700000003,0.043000000000000003,1.0062406565946451e+17,6.033208073552479e+16,0.07095778788397783,0.714654
-0.0023920799999999076,0.04,3.682586218302268e+17,2.1664351399124362e+17,0.006548676577391166,0.746678
0.05269106999999984,0.042,1.637402509644532e+18,9.45471588907415e+17,0.04832399579745508,0.778686
0.02394776999999948,0.043000000000000003,7.975218894034205e+18,4.52151741305491e+18,0.026838682762879443,0.811676
0.05269106999999984,0.044,5.986632849870176e+19,3.3336173889618633e+19,0.050183034253278344,0.844676
0.07184999999999953,0.044,-3.4021327785149786e+20,-1.861289116106312e+20,0.06933574378888854,0.877362
0.14130479999999856,0.043000000000000003,1.0158349452282817e+22,5.461957385032147e+21,0.134184621705935,0.910159
0.06466907999999982,0.044,1.0251861572865642e+23,5.4189988619226605e+22,0.07259738293088733,0.942159
0.043106699999999165,0.045,-2.0870610880016704e+23,-1.0848430940902456e+23,0.04607002220162143,0.974338
0.06706271999999913,0.044,-2.2074731202568485e+24,-1.1286591488762956e+24,0.064701168702103,1.006338
-0.2011819199999998,0.04,-2.0687322792344188e+26,-1.0406952214280755e+26,-0.17413372197472643,1.038338
0.011969759999999496,0.045,-1.4784319765081313e+27,-7.319561471961119e+26,-0.008738376996091174,1.071315
-0.08143124999999962,0.045,-5.550410743430256e+27,-2.705093645925402e+27,-0.07396353897277562,1.103338
-0.4550549099999994,0.045,1.8058032206723747e+29,8.665761174800012e+28,-0.41301636477078224,1.135338
0.011969759999999496,0.045,1.892953275312242e+30,8.946593885184069e+29,-0.03202915932277223,1.167338
-0.10059018000000108,0.044,4.32364477774181e+30,2.0130229345624225e+30,-0.09307910108701273,1.200315
0.09100892999999921,0.044,5.778815785107256e+31,2.6510313675306403e+31,0.07183243571184833,1.232328
3.3961352700000003,0.044,-8.290396867333454e+33,-3.748195523971827e+33,3.033936062330115,1.264338
1.8896724299999992,0.046,-3.2311087053916734e+34,-1.4399927289864986e+34,2.009455261636365,1.296338
0.6035421899999989,0.053,2.2027125284077812e+35,9.678692731159284e+34,0.7560584704567337,1.328338
1.8178239900000008,0.06,1.818245987379502e+36,7.878572574383829e+35,1.706244554730227,1.360338
3.393741629999999,0.067,-1.9914713340169104e+37,-8.511154783337747e+36,3.211310030042389,1.392338
4.39007466,0.08,1.0700028007433837e+38,4.511283372695894e+37,4.265817272309601,1.424338
3.7362283499999993,0.098,5.974158809633116e+38,2.4852597150888932e+38,3.793324111378112,1.456338
2.016604020000001,0.11800000000000001,-1.3151173136339996e+40,-5.399037008559396e+39,2.204353119528139,1.488338
-1.6238281200000007,0.14100000000000001,2.3967121981171698e+41,9.711793660709977e+40,-1.2120051231805702,1.521111
-3.2069364900000004,0.163,-8.645829075112612e+41,-3.458557377425392e+41,-2.995718202215001,1.55411
-4.0523721,0.179,4.120408602311523e+42,1.627438455061799e+42,-3.938897472298729,1.58611
-2.7351147300000003,0.193,5.203715463364704e+43,2.0296593852590052e+43,-2.8627652179471514,1.61811
-3.0584425200000007,0.203,1.1884826746708947e+44,4.578418279816813e+43,-3.037457514684818,1.651087
-4.962485040000001,0.215,-5.358340193306088e+45,-2.0390688467215652e+45,-4.758102388312578,1.6831
-6.068984370000001,0.219,2.625707964908169e+46,9.871688163224076e+45,-5.928555063743037,1.7151
-4.907392080000001,0.217,2.3444345758613296e+47,8.709423092473199e+46,-5.015915935421354,1.74711
-2.59381149,0.211,-3.944763489484296e+48,-1.4482378169509185e+48,-2.853056358101502,1.77911
-1.3412118300000007,0.191,1.8006696934571358e+49,6.534021465236901e+48,-1.5020070998970674,1.81111
0.5532463199999995,0.176,-2.3518766560718984e+50,-8.436206306831021e+49,0.3334181398400533,1.84311
-0.4574485500000005,0.164,-1.0599086833153423e+51,-3.758758932122633e+50,-0.37328263401075945,1.875889
-0.39757812000000037,0.15,-8.581259745623665e+50,-3.0090290181975313e+50,-0.394980917293279,1.907889
1.137637830000001,0.135,1.1286146595425233e+53,3.913587106715162e+52,0.9744532869516445,1.940879
1.6214277899999985,0.123,-2.920976590836039e+53,-1.0017627087727398e+53,1.5522958715590653,1.972889
1.8369829199999987,0.113,1.2120992791650307e+54,4.111826241761975e+53,1.8066593103164137,2.004889
1.6789045799999993,0.10300000000000001,6.945469747366519e+54,2.3308221784035645e+54,1.6925509917777017,2.037889
0.39996507000000037,0.095,-4.81096486378412e+56,-1.5973524303593486e+56,0.5376880066525693,2.070856
-0.2826147300000006,0.09,2.13193692722971e+57,7.004110448483161e+56,-0.19501625617179075,2.103655
0.6179138399999999,0.083,2.403754735415925e+58,7.81496183420743e+57,0.5312762801144884,2.136654
0.5724052499999992,0.081,1.4934189255225095e+58,4.805332493838948e+57,0.5680141268492649,2.169654
1.7627310299999994,0.075,2.3065765484000456e+60,7.346166953430321e+59,1.6353800392281304,2.201654
0.9532196400000004,0.073,1.337948494807824e+61,4.218213517481221e+60,1.0260377093324502,2.23366
0.708921209999998,0.067,-2.980449013124018e+61,-9.302749112573725e+60,0.7427294932171735,2.266654
-0.3017736600000003,0.063,1.1744378638804913e+63,3.629471847073926e+62,-0.19029217571830248,2.298654
-1.4226446400000006,0.057,-1.0798470609847241e+64,-3.304470573551505e+63,-1.2912455381428343,2.331653
-1.3316274600000009,0.054,-7.589900032107982e+63,-2.3000834425538685e+63,-1.3273179034807612,2.363654
-0.7376712000000012,0.057,4.0040451770393313e+65,1.2017530850766468e+65,-0.8005481648272907,2.396441
0.7352708700000008,0.051000000000000004,-8.56348971194479e+66,-2.5457506326729516e+66,0.5713825495603151,2.428442
2.7877975500000005,0.046,1.0046949929184184e+68,2.958607984611364e+67,2.551431923611153,2.460763
0.7711950899999991,0.044,8.406869421407101e+68,2.452529062383245e+68,0.9611523288760255,2.492776
-1.18074966,0.043000000000000003,-6.649781465664341e+69,-1.921992802612091e+69,-0.9523163285246441,2.525121
0.7065275700000004,0.042,-5.568527147744214e+70,-1.5947271981146197e+70,0.5295330402347294,2.557134
-0.8358594900000007,0.042,-3.959800013057528e+71,-1.123718326264974e+71,-0.6902336107363527,2.589144
0.12214586999999888,0.043000000000000003,-2.1041249218545316e+72,-5.917383244925037e+71,0.035470757492617744,2.621144
0.07663727999999992,0.039,-1.3950686474023863e+72,-3.888328030262357e+71,0.07224649649153839,2.653144
0.7352708700000008,0.04,-1.0024729274878313e+74,-2.7693870674881714e+73,0.6645333243805743,2.685144
0.026341410000000565,0.045,-9.028674042999459e+74,-2.4723651380884517e+74,0.09441246570415773,2.717144
0.22991853000000084,0.05,-2.345536194081552e+75,-6.367101228648698e+74,0.2154618911755712,2.750143
0.11496494999999918,0.045,-1.1331806603552037e+76,-3.049597480570999e+75,0.12568445254060923,2.782144
-0.29938002000000097,0.047,3.081376256077111e+77,8.221746047973952e+76,-0.25403245616953274,2.814144
-0.7256931900000012,0.047,-2.6766946140705297e+78,-7.081508387145568e+77,-0.675382539926062,2.846144
-0.5819865000000011,0.044,-7.68357674680061e+78,-2.0157150240805023e+78,-0.5919501878475658,2.878144
-0.1772357100000015,0.044,1.7868745807639433e+80,4.64867439639686e+79,-0.22147275305512182,2.910145
0.019160489999999086,0.045,-7.31131478579399e+80,-1.8863835413925042e+80,-0.006510423104667096,2.943144
0.2706398399999994,0.046,8.103404736739286e+81,2.0736292508174995e+81,0.24107622772213153,2.975144
0.3903905099999996,0.046,-3.194759862085118e+82,-8.108863408036225e+81,0.374461737438317,3.007144
0.3568599299999988,0.044,-7.203530714451808e+82,-1.8136522323207202e+82,0.3587375326330924,3.039144
0.28979877000000087,0.042,1.2411032473960577e+84,3.0997847896580484e+83,0.297153058891823,3.072121
0.15807009000000072,0.044,-2.1067376362005297e+85,-5.220076356705176e+84,0.17290632562992125,3.104134
0.04071305999999986,0.043000000000000003,1.573919908889593e+86,3.869181529774238e+85,0.05481515214438863,3.136144
-0.11735547000000146,0.043000000000000003,-1.800187382820975e+87,-4.3908756908898123e+86,-0.09898960115636073,3.168144
-0.5628275699999996,0.042,4.2617445892919525e+88,1.0314406825019499e+88,-0.5133466071143993,3.200144
-1.6477743300000007,0.045,-8.719058894841304e+89,-2.0939963001436476e+89,-1.5267615121972067,3.233144
0.0934025700000003,0.041,-1.187807360542673e+91,-2.830918864545536e+90,-0.0794313432293865,3.265144
0.026341410000000565,0.043000000000000003,-5.92381468929018e+90,-1.4011455365769806e+90,0.015058268631261487,3.297144
0.9316572599999979,0.043000000000000003,-4.4690642097190316e+92,-1.0491162922151492e+92,0.8338777530960128,3.329144
0.193994309999999,0.046,-3.0411579400436516e+93,-7.085912321010424e+92,0.2622530749704711,3.361144
0.6011485499999996,0.047,-1.4613011205668001e+94,-3.3796398465152716e+93,0.5649964899027788,3.393144
0.2586618299999994,0.044,-1.0258000393263664e+95,-2.355001075082535e+94,0.2913397758642698,3.425938
0.1892070299999986,0.044,1.431810112933557e+95,3.2631343684138665e+94,0.20010213311886801,3.458903
-0.007189170000000189,0.042,-4.066113925517596e+96,-9.199692412624021e+95,0.014923466862699603,3.490917
-0.7783826999999999,0.041,1.3149159650821085e+98,2.9536481644276995e+97,-0.6937561925025464,3.523907
-0.32571987000000036,0.043000000000000003,6.617127344936776e+98,1.4757734527431436e+98,-0.36497991583917516,3.555915
-0.3592504500000011,0.048,5.971082464287671e+98,1.3222538153387411e+98,-0.3598616440632601,3.587928
0.06466907999999982,0.04,4.381962798787236e+100,9.635268310005e+99,0.01938247371405427,3.619938
0.42631472999999964,0.044,-3.0439654814054913e+101,-6.646449647105145e+100,0.3829050447773946,3.651938
-0.12693984000000036,0.046,-3.980000884868887e+102,-8.62996901337218e+101,-0.07255233482313256,3.683938
-0.22034084999999948,0.045,4.949954573734882e+102,1.0659191452943777e+102,-0.20457545593187218,3.715938
