accel_z,range_sensor,d_est,v_est,a_est,t
-0.031135380000000268,0.06,-1.0429506653145204e-13,-8.09998498913405e-12,-2.965393745471809e-10,0.032122
-0.05748503999999954,0.057,-7.277147687429872e-13,-4.0708761147001094e-11,-1.2636472765573907e-09,0.065065
-0.02874174000000096,0.057,1.4644223099841684e-11,3.523966283278611e-10,4.260192110561724e-09,0.097198
0.03592577999999946,0.059000000000000004,1.4356802809966735e-10,2.812111532749651e-09,2.992399884427496e-08,0.1292
0.1029869399999992,0.056,6.274627778113514e-10,9.963415746686237e-09,8.673595631349919e-08,0.161467
-0.03352902000000135,0.059000000000000004,1.70530617226006e-09,2.1947775661944218e-08,1.489408330646033e-07,0.194208
-0.05268795000000104,0.055,3.902798705371967e-09,4.2317951723862673e-08,2.3823663280150896e-07,0.226945
-0.023954460000000566,0.06,8.579917277308574e-09,8.109275248436372e-08,3.988047186209793e-07,0.259266
-0.0742503300000017,0.056,1.653826697787632e-08,1.3806944771105658e-07,5.964512720888035e-07,0.291385
0.0862216500000006,0.059000000000000004,3.1723889622771764e-08,2.398802316403477e-07,9.515126210311028e-07,0.323737
0.007182479999999103,0.057,5.531975601937111e-08,3.801218104413655e-07,1.3688697139618862e-06,0.356306
-0.14609877000000004,0.06,9.145831711514089e-08,5.733408506956636e-07,1.8677290298713357e-06,0.388446
-0.05987868000000063,0.062,1.484208174864735e-07,8.584994503766786e-07,2.581621462835669e-06,0.420493
-0.026348099999999874,0.062,2.3258594557748067e-07,1.2497250227751158e-06,3.496475151741542e-06,0.452536
-0.04071975000000094,0.058,3.472301655514166e-07,1.7403156480904425e-06,4.541841219172497e-06,0.4851
0.07184999999999953,0.059000000000000004,5.109416625475586e-07,2.4039157886736128e-06,5.906278878213002e-06,0.517192
-0.11017454999999998,0.06,7.299767661331784e-07,3.228954327007878e-06,7.443239463722944e-06,0.549768
-0.14131148999999965,0.062,1.0278541940860037e-06,4.290412006187202e-06,9.318749148075952e-06,0.582359
-0.11974911000000077,0.06,1.4133519717342558e-06,5.585273797335121e-06,1.1477380633612325e-05,0.615186
-0.05268795000000104,0.06,1.9169582646040876e-06,7.196742055365566e-06,1.4057476980080888e-05,0.647942
-0.10059018000000108,0.06,2.5589121795480104e-06,9.146918611431158e-06,1.7009216876913163e-05,0.680474
-0.04071975000000094,0.061,3.38443738312137e-06,1.155073523225646e-05,2.0521071935979782e-05,0.713368
0.011969759999999496,0.062,4.4346404367996554e-06,1.4484612609626778e-05,2.4651162228052577e-05,0.745907
0.043106699999999165,0.059000000000000004,5.702536738600936e-06,1.78539487333101e-05,2.9145441521472476e-05,0.778453
-0.14849240999999935,0.059000000000000004,7.23895466041941e-06,2.174650680272355e-05,3.403326020290056e-05,0.810491
0.05269106999999984,0.059000000000000004,9.133927838811742e-06,2.639060249198152e-05,3.97490750800899e-05,0.842576
0.16046373000000003,0.062,1.1511945693994953e-05,3.205408123655795e-05,4.6582336517706606e-05,0.87465
-0.0023920799999999076,0.06,1.4292370784595172e-05,3.8374559019980936e-05,5.377027834010639e-05,0.907196
-0.14370513000000074,0.06,1.7587012810660877e-05,4.557637467516625e-05,6.159425092697293e-05,0.939831
-0.11017454999999998,0.061,2.154140091867748e-05,5.395533761843057e-05,7.045386512156698e-05,0.972388
0.0862216500000006,0.058,2.6104746206512846e-05,6.327775207780507e-05,7.998939900211581e-05,1.005003
0.6610287899999996,0.06,3.169282125171453e-05,7.45098069769332e-05,9.155299253439778e-05,1.037063
0.019160489999999086,0.061,3.8128992467791996e-05,8.692423331980172e-05,0.00010353865194565973,1.069172
-0.08143124999999962,0.058,4.535659793837278e-05,0.00010032270797332427,0.00011586453662348603,1.102232
1.5599999994009295e-06,0.057,5.3640639075052014e-05,0.00011522432029955507,0.00012919264686654712,1.134323
0.06945636000000022,0.053,6.278215362876613e-05,0.00013106233962677618,0.00014277276309739847,1.166466
-0.0838248900000007,0.061,7.410213580567362e-05,0.00015051229953785128,0.00015949351171754955,1.19918
-0.16047041999999934,0.06,8.689671506148389e-05,0.00017182749518763015,0.00017719337562683999,1.231234
0.07424364000000061,0.06,0.00010157295595569311,0.0001957146300210473,0.0001966958639322383,1.263915
-0.05748503999999954,0.059000000000000004,0.0001180146901835979,0.00022168480666076443,0.00021716489769005822,1.29635
0.011969759999999496,0.061,0.00013703907178117797,0.0002511598422527877,0.00024006651115102145,1.328492
-0.0047857200000009925,0.057,0.0001576403860196176,0.00028198555599448754,0.0002630271624505969,1.361111
-0.03352902000000135,0.058,0.00018101524825056797,0.0003162280244621517,0.0002880371208448122,1.393793
0.002395200000000486,0.059000000000000004,0.0002075173404843577,0.0003542755686676331,0.00031534421386258986,1.426781
0.0862216500000006,0.057,0.0002366021772832958,0.00039492071225600184,0.00034368982370644566,1.459395
0.14130479999999856,0.059000000000000004,0.0002697511053160007,0.0004404917863146914,0.0003750953966816363,1.492461
0.07184999999999953,0.059000000000000004,0.00030660767514241,0.0004900308487240461,0.00040842179628195076,1.525093
0.04790378999999945,0.055,0.0003458210734350153,0.0005410780296783023,0.0004414247489944542,1.557273
-0.11496183000000038,0.059000000000000004,0.0003909421042179916,0.0005991541401007235,0.00047873251975034584,1.589836
-0.07184688000000072,0.059000000000000004,0.0004408729509697523,0.0006621375925271463,0.0005184149790792907,1.622397
0.07184999999999953,0.064,0.0004989781007308072,0.0007349004718365128,0.0005643672999230758,1.654935
-0.10537746000000148,0.062,0.0005616681639190783,0.0008113596584859018,0.0006111031220868643,1.687481
0.03113849999999907,0.063,0.0006314791706070217,0.0008951086814834523,0.0006616060409720436,1.719534
0.1987815899999994,0.061,0.0007068184068364465,0.0009834229736211703,0.0007135697865900413,1.752075
0.07424364000000061,0.06,0.000788370762125264,0.0010769181411158305,0.0007671724839612172,1.784823
-0.007189170000000189,0.059000000000000004,0.0008764873521078548,0.0011757889172010786,0.0008224868208286979,1.817452
0.15328281000000032,0.06,0.000973777644826856,0.0012833835838576288,0.0008820368658262273,1.849996
0.07903091999999923,0.06,0.001079639900293169,0.0013983301168849127,0.0009444247821751533,1.882188
-0.08621853000000002,0.059000000000000004,0.0011933242339990228,0.0015191919296969922,0.0010084019716219415,1.914896
0.05987198999999954,0.062,0.0013207438178067115,0.0016534578319448272,0.0010793188696183499,1.947446
-0.11496183000000038,0.057,0.0014516896502825946,0.00178722243779788,0.001147045673079109,1.980006
-0.06705960000000033,0.061,0.0015993157984829044,0.0019371622779538918,0.0012231398257896186,2.012082
