accel_x,accel_y,accel_z,range_sensor,t
-0.035156,0.069336,-0.93335,117.0,3.809541
-0.045654,0.054443,-0.928223,114.0,3.841545
-0.032715,0.06958,-0.947266,116.0,3.873634
-0.041748,0.078125,-0.922119,114.0,3.905571
-0.032715,0.063721,-0.930664,119.0,3.936541
-0.022217,0.066162,-0.925293,117.0,3.967541
-0.034668,0.073486,-0.942627,113.0,3.999542
-0.021973,0.08374,-0.950195,114.0,4.031736
-0.040039,0.052002,-0.933838,115.0,4.062541
-0.024902,0.094238,-0.914551,112.0,4.094564
-0.050537,0.068359,-0.926514,117.0,4.126021
-0.026123,0.074707,-0.941406,117.0,4.158159
-0.044678,0.05249,-0.876221,114.0,4.19005
-0.018555,0.077637,-0.919922,117.0,4.221361
-0.034424,0.067871,-0.936035,118.0,4.253048
-0.036621,0.068604,-0.923096,115.0,4.28402
-0.041016,0.071289,-0.927734,114.0,4.316019
-0.028564,0.068359,-0.933838,115.0,4.347032
-0.025146,0.048584,-0.91333,115.0,4.37902
-0.039795,0.088379,-0.910156,115.0,4.41102
-0.021973,0.062988,-0.941162,116.0,4.44202
-0.024658,0.093018,-0.94043,114.0,4.47471
-0.032471,0.057129,-0.93335,113.0,4.505741
-0.04126,0.076416,-0.942383,113.0,4.537732
-0.039063,0.090576,-0.9375,115.0,4.569743
-0.031738,0.075439,-0.937256,112.0,4.600991
-0.037354,0.064941,-0.927246,113.0,4.63272
-0.038574,0.072266,-0.933105,114.0,4.663926
-0.02124,0.053711,-0.949219,117.0,4.695744
-0.029785,0.063965,-0.942139,117.0,4.727479
-0.042236,0.088135,-0.943848,115.0,4.759271
-0.021484,0.085693,-0.927246,113.0,4.790291
-0.03833,0.055908,-0.926758,117.0,4.82227
-0.030518,0.066895,-0.937256,117.0,4.854309
-0.029297,0.078369,-0.925781,115.0,4.885463
-0.02417,0.061523,-0.908691,114.0,4.917271
-0.032959,0.093262,-0.923584,115.0,4.949271
-0.039063,0.05127,-0.925781,117.0,4.980292
-0.006348,0.075684,-0.934326,118.0,5.012351
-0.019775,0.074951,-0.917236,115.0,5.04427
-0.011963,0.070557,-0.910156,117.0,5.075482
-0.035645,0.063721,-0.927979,114.0,5.106291
-0.0354,0.082764,-0.924072,112.0,5.138264
-0.035889,0.082275,-0.932617,116.0,5.170271
-0.035645,0.051025,-0.947021,115.0,5.201507
-0.023193,0.066406,-0.947754,114.0,5.233474
-0.024414,0.073486,-0.93335,115.0,5.265016
-0.025635,0.076172,-0.930176,114.0,5.296339
-0.018799,0.0625,-0.941406,116.0,5.328534
-0.03418,0.055908,-0.923828,114.0,5.359533
-0.035889,0.05542,-0.930908,116.0,5.391531
-0.02417,0.07959,-0.929443,115.0,5.423534
-0.009033,0.090088,-0.929688,115.0,5.455261
-0.02832,0.056885,-0.930664,114.0,5.48626
-0.028809,0.098389,-0.92627,117.0,5.518288
-0.032471,0.062744,-0.926025,114.0,5.549495
-0.029785,0.041016,-0.940186,114.0,5.581596
-0.032715,0.070068,-0.882568,114.0,5.613515
-0.02417,0.108887,-0.934814,117.0,5.644679
-0.02832,0.087158,-0.92041,116.0,5.676494
-0.027588,0.091064,-0.928955,116.0,5.707496
-0.022705,0.052002,-0.920654,112.0,5.739538
-0.020752,0.066162,-0.938721,115.0,5.771535
-0.015381,0.07251,-0.932617,111.0,5.803544
-0.029785,0.065186,-0.930664,115.0,5.834522
-0.042969,0.080078,-0.935547,115.0,5.866682
-0.040771,0.057129,-0.942139,115.0,5.898535
-0.029541,0.057129,-0.938232,116.0,5.929604
-0.033936,0.052002,-0.924805,114.0,5.961531
-0.032471,0.058838,-0.924072,114.0,5.992526
-0.024414,0.081055,-0.927734,114.0,6.024553
-0.026367,0.090088,-0.919678,118.0,6.056006
-0.035645,0.064941,-0.915527,118.0,6.087522
-0.021973,0.080566,-0.921143,117.0,6.119523
-0.037354,0.083984,-0.924561,114.0,6.151555
-0.020508,0.06665,-0.925537,118.0,6.182521
-0.024902,0.072998,-0.912842,115.0,6.214573
-0.004883,0.062012,-0.952881,116.0,6.245532
-0.026123,0.06665,-0.929443,116.0,6.277525
-0.036377,0.077393,-0.937012,116.0,6.309531
-0.026611,0.065918,-0.87793,114.0,6.340757
-0.023926,0.084717,-0.912598,115.0,6.372492
-0.037842,0.0625,-0.914063,115.0,6.403493
-0.033203,0.068604,-0.948486,114.0,6.435484
-0.035889,0.091797,-0.923828,116.0,6.467635
-0.03125,0.074219,-0.936768,114.0,6.499493
-0.040527,0.05835,-0.931152,114.0,6.530705
-0.053223,0.086426,-0.91626,115.0,6.561493
-0.025879,0.06665,-0.930176,114.0,6.593513
-0.029785,0.0625,-0.936279,115.0,6.625829
-0.029053,0.044678,-0.931152,115.0,6.657492
-0.027832,0.068359,-0.928955,115.0,6.688687
-0.013184,0.087158,-0.929688,116.0,6.720494
-0.02002,0.069336,-0.938477,116.0,6.752523
-0.047363,0.077393,-0.908691,114.0,6.783694
-0.025391,0.075684,-0.933594,116.0,6.815497
-0.016846,0.055664,-0.927246,112.0,6.846486
-0.034912,0.054443,-0.933594,116.0,6.878707
-0.030762,0.062256,-0.917236,115.0,6.909783
-0.021973,0.091309,-0.929443,113.0,6.9419
-0.032227,0.091064,-0.927246,115.0,6.973792
-0.019531,0.062012,-0.931641,114.0,7.005069
-0.026611,0.080078,-0.936768,119.0,7.036799
-0.036621,0.084473,-0.944092,116.0,7.067967
-0.035889,0.08374,-0.936523,117.0,7.099994
-0.038086,0.045898,-0.924561,115.0,7.132079
-0.026611,0.060547,-0.917725,114.0,7.163082
-0.043457,0.057861,-0.924805,113.0,7.195075
-0.032227,0.07373,-0.933594,115.0,7.226333
-0.044922,0.06665,-0.92749,113.0,7.258268
-0.024414,0.060303,-0.914795,117.0,7.289052
-0.034912,0.030762,-0.921631,116.0,7.321258
-0.017334,0.064453,-0.916992,116.0,7.353047
-0.01709,0.05835,-0.926758,115.0,7.384049
-0.015625,0.09668,-0.993896,114.0,7.416047
-0.032227,0.061523,-0.939453,116.0,7.448049
-0.046143,0.063477,-0.936768,118.0,7.479048
-0.025146,0.050537,-0.934082,118.0,7.511052
-0.034912,0.061768,-0.941406,116.0,7.543048
-0.020996,0.064697,-0.923828,116.0,7.57405
-0.026611,0.08374,-0.923828,114.0,7.606049
-0.033447,0.05835,-0.914795,114.0,7.637063
-0.026123,0.071777,-0.927002,114.0,7.669077
-0.026367,0.063477,-0.930176,116.0,7.701005
-0.025391,0.052002,-0.943848,117.0,7.732998
-0.036865,0.049316,-0.917236,116.0,7.764356
-0.031738,0.050781,-0.917969,116.0,7.796366
-0.032715,0.083496,-0.932617,116.0,7.827524
-0.022949,0.074463,-0.939697,115.0,7.859392
-0.029297,0.053955,-0.924805,118.0,7.890358
-0.041504,0.083496,-0.933105,115.0,7.922363
-0.031738,0.067139,-0.932861,116.0,7.954363
-0.014893,0.050781,-0.920654,118.0,7.985593
-0.017334,0.088623,-0.924316,115.0,8.017404
-0.02417,0.084961,-0.905518,116.0,8.049385
-0.031006,0.081787,-0.939453,118.0,8.080384
-0.029785,0.061279,-0.928711,115.0,8.112502
-0.039795,0.025879,-0.926514,115.0,8.144199
-0.030273,0.084961,-0.930908,118.0,8.17599
-0.02832,0.089355,-0.925537,114.0,8.207204
-0.027344,0.053467,-0.944336,114.0,8.239034
-0.029541,0.085205,-0.918945,116.0,8.27099
-0.016357,0.092041,-0.923584,116.0,8.302199
-0.019287,0.070068,-0.92627,117.0,8.333992
-0.02832,0.050537,-0.92749,113.0,8.365187
-0.012695,0.06958,-0.925781,116.0,8.397219
-0.043457,0.059082,-0.924072,113.0,8.42899
-0.030273,0.047363,-0.917725,114.0,8.459992
-0.042969,0.05127,-0.922363,115.0,8.491725
-0.030518,0.06958,-0.914307,114.0,8.523713
-0.033691,0.05249,-0.921875,117.0,8.554723
-0.029053,0.087891,-0.928711,116.0,8.586714
-0.02417,0.054443,-0.92041,116.0,8.617722
-0.025391,0.0625,-0.906006,112.0,8.649732
-0.010498,0.062988,-0.915039,115.0,8.68172
-0.040527,0.071533,-0.93042,115.0,8.713165
-0.013916,0.066162,-0.950195,115.0,8.745153
-0.019531,0.091797,-0.934082,117.0,8.776353
-0.029297,0.08374,-0.935791,115.0,8.808602
-0.019043,0.085938,-0.944824,115.0,8.839561
-0.023193,0.082764,-0.918701,112.0,8.871529
-0.020508,0.064697,-0.941406,114.0,8.903347
-0.025146,0.070801,-0.915527,114.0,8.934492
-0.018311,0.081787,-0.932617,118.0,8.966315
-0.030518,0.069336,-0.945557,114.0,8.99832
-0.041504,0.073242,-0.928467,114.0,9.029525
-0.027344,0.063232,-0.93335,115.0,9.061317
-0.034912,0.050049,-0.929932,117.0,9.092939
-0.02124,0.079346,-0.938477,113.0,9.124696
-0.03125,0.063232,-0.928223,114.0,9.156275
-0.02832,0.084961,-0.927979,117.0,9.188114
-0.031738,0.059814,-0.916992,116.0,9.218985
-0.032227,0.084961,-0.943115,116.0,9.25121
-0.047119,0.040527,-0.920898,115.0,9.281994
-0.016602,0.081299,-0.926758,116.0,9.315016
-0.022461,0.048828,-0.927002,117.0,9.346149
-0.028076,0.053467,-0.922607,113.0,9.377775
-0.041016,0.071045,-0.927979,113.0,9.409623
-0.040039,0.079102,-0.939209,115.0,9.441007
-0.013428,0.063721,-0.937012,114.0,9.473004
-0.010986,0.077393,-0.940674,116.0,9.504204
-0.031738,0.062256,-0.915771,118.0,9.536007
-0.032227,0.074463,-0.999512,113.0,9.567197
-0.021973,0.072266,-0.949219,113.0,9.599006
-0.023682,0.063721,-0.935791,115.0,9.631208
-0.039063,0.063477,-0.930664,116.0,9.662332
-0.034912,0.069336,-0.932861,114.0,9.6942
-0.019043,0.054199,-0.938477,117.0,9.725416
-0.033936,0.061768,-0.941406,115.0,9.757207
-0.026855,0.079346,-0.917725,114.0,9.788199
-0.026611,0.120605,-0.931396,114.0,9.820215
-0.033203,0.052734,-0.932129,114.0,9.852395
