accel_x,accel_y,accel_z,range_sensor,t
-0.03833,0.060547,-0.942139,108.0,0.0
-0.018311,0.089844,-0.951416,109.0,0.00703
-0.024414,0.067383,-0.957764,108.0,0.015139
-0.025146,0.059082,-0.935303,107.0,0.044105
-0.043701,0.073242,-0.913818,108.0,0.076105
-0.028564,0.056152,-0.938232,107.0,0.108104
-0.030273,0.06958,-0.936279,109.0,0.143108
-0.029541,0.083984,-0.915283,105.0,0.171106
-0.017578,0.075439,-0.948486,108.0,0.205107
-0.013428,0.046631,-0.918213,107.0,0.235108
-0.029053,0.049316,-0.936279,107.0,0.266104
-0.037598,0.052002,-0.930176,103.0,0.299109
-0.027344,0.066162,-0.940674,108.0,0.329096
-0.032715,0.066895,-0.921631,104.0,0.361082
-0.033936,0.053467,-0.929199,103.0,0.393083
-0.033936,0.067139,-0.921631,109.0,0.427096
-0.033691,0.070313,-0.928955,105.0,0.456082
-0.035156,0.052734,-0.927734,106.0,0.491074
-0.033203,0.078857,-0.93042,110.0,0.519084
-0.017822,0.118652,-0.945557,107.0,0.551108
-0.029785,0.054932,-0.933105,106.0,0.582083
-0.026367,0.080811,-0.92627,108.0,0.614095
-0.02417,0.073242,-0.927734,107.0,0.646105
-0.039063,0.093018,-0.929443,107.0,0.677076
-0.02002,0.07373,-0.943604,105.0,0.709074
-0.033691,0.070313,-0.932861,106.0,0.740077
-0.031006,0.057129,-0.918701,107.0,0.77309
-0.044678,0.043457,-0.924561,107.0,0.804758
-0.028076,0.059326,-0.921631,105.0,0.835804
-0.023682,0.057373,-0.937744,108.0,0.866773
-0.009033,0.070557,-0.990234,108.0,0.898769
-0.030029,0.074951,-0.931641,107.0,0.930769
-0.02124,0.064209,-0.928711,108.0,0.964772
-0.04126,0.050293,-0.919678,104.0,0.99377
-0.031738,0.023438,-0.93335,106.0,1.024769
-0.029297,0.054688,-0.923584,106.0,1.057773
-0.049316,0.059082,-0.936279,109.0,1.08877
-0.03125,0.054443,-0.988281,107.0,1.120772
-0.039551,0.070068,-0.925293,109.0,1.151769
-0.015381,0.069824,-0.920898,109.0,1.185769
-0.039063,0.061768,-0.929932,110.0,1.216783
-0.017822,0.066895,-0.92627,108.0,1.246464
-0.039551,0.051514,-0.921875,108.0,1.278472
-0.032959,0.06543,-0.943115,105.0,1.309585
-0.029297,0.061523,-0.930908,108.0,1.341342
-0.022949,0.054688,-0.929688,107.0,1.374995
-0.041016,0.060791,-0.936279,109.0,1.405004
-0.026367,0.062256,-0.918945,105.0,1.435997
-0.028564,0.067139,-0.923828,105.0,1.470382
-0.044678,0.076172,-0.937012,106.0,1.49938
-0.030762,0.06543,-0.93457,104.0,1.53238
-0.02417,0.052002,-0.94165,103.0,1.565384
-0.038818,0.084473,-0.927246,106.0,1.594382
-0.043457,0.069092,-0.938232,107.0,1.626372
-0.025879,0.07373,-0.934814,107.0,1.657144
