accel_x,accel_y,accel_z,range_sensor,t
-0.027832,0.08252,-0.932373,58.0,0.0
-0.029541,0.088379,-0.940186,58.0,0.008001
-0.031006,0.048096,-0.919434,57.0,0.040003
-0.033936,0.05542,-0.929688,55.0,0.070999
-0.023193,0.079346,-0.913818,55.0,0.103009
-0.031982,0.073486,-0.924805,56.0,0.135
-0.040771,0.085205,-0.943115,59.0,0.166002
-0.019775,0.087891,-0.917236,58.0,0.197002
-0.031738,0.064697,-0.923828,56.0,0.229024
-0.027832,0.075684,-0.914551,57.0,0.260024
-0.020264,0.069824,-0.941406,59.0,0.292034
-0.030029,0.085449,-0.946533,56.0,0.323034
-0.036865,0.080566,-0.920898,57.0,0.355233
-0.025879,0.086182,-0.946045,59.0,0.387069
-0.035156,0.070313,-0.934326,58.0,0.41827
-0.023926,0.081543,-0.929688,59.0,0.450242
-0.037842,0.060547,-0.875488,58.0,0.48127
-0.011475,0.054443,-0.917969,55.0,0.513293
-0.035156,0.08667,-0.936768,56.0,0.54426
-0.044922,0.041992,-0.935303,58.0,0.575647
-0.035889,0.052734,-0.921631,57.0,0.607645
-0.025146,0.11084,-0.932617,60.0,0.638644
-0.029297,0.084961,-0.90918,59.0,0.670692
-0.038086,0.072754,-0.929932,60.0,0.701756
-0.044922,0.070068,-0.92041,56.0,0.733756
-0.022705,0.056152,-0.940674,56.0,0.764733
-0.030518,0.085449,-0.937988,54.0,0.79687
-0.030762,0.064453,-0.924072,55.0,0.827746
-0.031738,0.063232,-0.938721,55.0,0.859746
-0.026123,0.120361,-0.925537,56.0,0.890754
-0.058838,0.058594,-0.939941,57.0,0.92284
-0.039307,0.079834,-0.931885,58.0,0.954849
-0.021973,0.069336,-0.94458,58.0,0.98584
-0.015381,0.078369,-0.93335,59.0,1.017814
-0.022949,0.08374,-0.927002,58.0,1.048818
-0.036133,0.073242,-0.924316,56.0,1.079841
-0.025391,0.094482,-0.930176,59.0,1.111831
-0.018311,0.104492,-0.932861,57.0,1.142814
-0.023193,0.078369,-0.927979,56.0,1.174817
-0.030762,0.070801,-0.940186,58.0,1.206806
-0.023193,0.073242,-0.948242,61.0,1.237806
-0.037109,0.082275,-0.941895,61.0,1.269812
-0.038574,0.037109,-0.941406,58.0,1.300806
-0.041016,0.052979,-0.924805,57.0,1.332807
-0.025391,0.090088,-0.93457,58.0,1.363806
-0.041748,0.085693,-0.907471,57.0,1.395808
-0.033447,0.058105,-0.92749,59.0,1.427808
-0.034912,0.071533,-0.932129,55.0,1.458806
-0.031006,0.075684,-0.926758,59.0,1.490841
-0.036621,0.013428,-0.930908,59.0,1.52184
-0.025635,0.070313,-0.923096,61.0,1.553841
-0.026367,0.072266,-0.939697,58.0,1.584841
-0.017578,0.060791,-0.876953,57.0,1.616767
-0.023926,0.000244,-0.942383,58.0,1.647765
-0.024902,0.052979,-0.943604,57.0,1.679763
-0.025879,0.083984,-0.936768,59.0,1.71142
-0.030518,0.05835,-0.937744,61.0,1.74242
-0.030518,0.115967,-0.94165,56.0,1.774429
-0.039795,0.060547,-0.940918,56.0,1.80541
-0.037354,0.0625,-0.92041,57.0,1.837425
-0.022705,0.077393,-0.932617,57.0,1.869485
-0.032715,0.054443,-0.92627,56.0,1.900426
-0.033691,0.081787,-0.929688,56.0,1.932232
-0.047363,0.082764,-0.924561,55.0,1.963243
-0.038818,0.056152,-0.931152,55.0,1.995243
-0.032471,0.060059,-0.959717,55.0,2.026497
-0.033691,0.053467,-0.938721,56.0,2.0585
-0.031738,0.057861,-0.95166,54.0,2.089782
-0.036133,0.049561,-0.928223,59.0,2.121487
-0.014648,0.08252,-0.927734,56.0,2.152496
-0.031738,0.08667,-0.933838,57.0,2.184719
-0.03125,0.082031,-0.921875,54.0,2.215742
-0.043701,0.059326,-0.929932,57.0,2.247742
-0.02417,0.11499,-0.92749,61.0,2.278719
-0.028809,0.060547,-0.918701,56.0,2.310725
-0.025146,0.068359,-0.928955,59.0,2.342742
-0.043701,0.054932,-0.938232,59.0,2.373747
-0.033936,0.057861,-0.920654,58.0,2.404733
-0.024658,0.083984,-0.927979,55.0,2.436732
-0.032471,0.064209,-0.930908,58.0,2.467742
-0.035156,0.087402,-0.930664,55.0,2.499742
-0.047852,0.005859,-0.929688,56.0,2.531759
-0.042236,0.063965,-0.933594,55.0,2.563496
-0.03418,0.055664,-0.935547,58.0,2.594496
-0.041016,0.059814,-0.945557,58.0,2.625479
-0.027832,0.040283,-0.939453,57.0,2.657187
-0.034424,0.063965,-0.929932,56.0,2.689187
-0.01416,0.052734,-0.934082,54.0,2.720527
-0.040771,0.069092,-0.921387,58.0,2.751526
-0.045654,0.09082,-0.940186,57.0,2.783526
-0.03418,0.070313,-0.921387,58.0,2.815488
-0.020508,0.053223,-0.938721,57.0,2.846523
-0.021973,0.088867,-0.937988,56.0,2.878494
-0.019775,0.097168,-0.919678,56.0,2.909489
-0.023193,0.070801,-0.934814,59.0,2.941359
-0.037598,0.071777,-0.920166,61.0,2.973831
-0.010254,0.063721,-0.938477,56.0,3.004277
-0.033203,0.053955,-0.929932,60.0,3.036284
-0.029541,0.052246,-0.922363,55.0,3.067278
-0.041504,0.057861,-0.932373,59.0,3.099308
-0.038818,0.061523,-0.924561,57.0,3.130308
-0.024902,0.072021,-0.937012,61.0,3.162308
-0.04126,0.078369,-0.92334,56.0,3.193309
-0.035645,0.069092,-0.927734,56.0,3.225292
-0.036621,0.072021,-0.917725,54.0,3.256229
-0.033936,0.118652,-0.928955,58.0,3.28825
-0.019531,0.064209,-0.92627,59.0,3.320223
-0.026855,0.078125,-0.93042,56.0,3.352247
-0.048584,0.066895,-0.925049,54.0,3.38325
-0.031738,0.019531,-0.94165,57.0,3.414252
-0.018066,0.053223,-0.946777,59.0,3.445487
-0.042969,0.055908,-0.929199,55.0,3.47745
-0.026855,0.077637,-0.921631,56.0,3.509365
-0.043701,0.00708,-0.916504,58.0,3.540364
-0.031738,0.064453,-0.931885,56.0,3.572354
-0.046875,0.075439,-0.931396,60.0,3.603364
