accel_x,accel_y,accel_z,range_sensor,t
-0.031738,0.077637,-0.922119,99.0,3.80723
-0.01416,0.07666,-0.925537,99.0,3.838241
-0.021729,0.051758,-0.922607,101.0,3.870071
-0.043945,0.043213,-0.923096,101.0,3.902041
-0.04126,0.049316,-0.918945,97.0,3.933071
-0.050293,0.059082,-0.908691,96.0,3.965042
-0.031982,0.06958,-0.935791,100.0,3.997048
-0.036133,0.087646,-0.927734,99.0,4.028076
-0.031738,0.056641,-0.938721,99.0,4.060037
-0.03125,0.061035,-0.922852,98.0,4.091044
-0.013428,0.062256,-0.923584,101.0,4.12289
-0.029297,0.063721,-0.922363,101.0,4.154937
-0.020264,0.055908,-0.924072,101.0,4.185925
-0.025879,0.008789,-0.916504,99.0,4.217925
-0.028564,0.050537,-0.939941,95.0,4.248928
-0.044434,0.081299,-0.929932,101.0,4.280925
-0.014893,0.053223,-0.925293,101.0,4.312955
-0.020752,0.01709,-0.927002,100.0,4.343981
-0.032715,0.059814,-0.928711,103.0,4.376473
-0.01001,0.094727,-0.933594,99.0,4.407472
-0.023682,0.054932,-0.922852,96.0,4.438456
-0.022705,0.062012,-0.924316,99.0,4.470006
-0.043701,0.095215,-0.93335,100.0,4.503004
-0.018799,0.061035,-0.923096,99.0,4.533994
-0.020508,0.053711,-0.938721,102.0,4.566004
-0.044678,0.087891,-0.944092,98.0,4.597004
-0.041504,0.081055,-0.924072,99.0,4.629004
-0.049316,0.072998,-0.926758,99.0,4.659971
-0.037354,0.076904,-0.939209,101.0,4.691994
-0.025635,0.05127,-0.92334,98.0,4.724004
-0.031738,0.073975,-0.92627,99.0,4.755004
-0.031982,0.083496,-0.907715,100.0,4.786978
-0.01123,0.118408,-0.937988,101.0,4.819006
-0.026611,0.078125,-0.918213,100.0,4.850005
-0.042969,0.07251,-0.905273,98.0,4.881631
-0.026855,0.055664,-0.939453,100.0,4.91363
-0.034424,0.061768,-0.93042,103.0,4.944635
-0.011475,0.085205,-0.950928,102.0,4.976632
-0.030273,0.058838,-0.934814,100.0,5.007636
-0.031006,0.068359,-0.915771,102.0,5.039635
-0.018066,0.074463,-0.913086,100.0,5.07163
-0.024658,0.075928,-0.940918,99.0,5.102759
